row   column  href   dhtr        cond       
13    62      1525   -45.587294  2480.474406
10    62      1675   2.16771380  33099.41851
8     63      1715   -3.6459836  576.3249530
11    83      1685   -10.852271  122.4742390
22    88      1065   -96.286505  48.10000000
25    88      1061   69.8844418  797.2286390
29    90      1000   -4.7940748  1547.482234
27    99      1035   10.1413278  12801.60279
24    103     1268   94.5785806  19.90000000
23    104     1300   -12.382161  5376.337662
21    104     1297   -5.6796860  10378.95962
15    105     1500   -61.284122  7961.327871
11    112     1530   15.5344650  1324.926840
6     118     1650   -17.952081  254.4339540
11    126     1635   -4.1638126  106.4228800
12    130     1709   -9.9909754  9157.058170
15    132     1300   -9.3059536  1614.805481
15    133     1350   27.5326510  29.40000000
17    136     1340   -101.03330  15019.04628
19    142     1530   5.78378280  528.4721150
19    144     2100   13.9269642  318.4965010
21    146     2296   -5.4614000  199.0264570
22    146     2090   -70.514368  130.7268430
25    150     2000   99.0701716  248.4363930
36    150     1200   -127.96986  103.0691630
46    154     1200   24.2765500  517.7424940
50    160     1449   -5.2257168  33.20000000
57    162     1000   -20.969580  714.4038670
60    169     1010   -10.584169  100000.0000
69    180     1120   -39.605633  5722.468971
67    185     1520   -13.445256  94.90000000
67    187     1430   17.6750064  357.1030320
67    191     1895   8.19537500  480.7715570
72    197     1700   37.8042064  357.2692330
79    197     1433   -48.071300  40.20000000
80    200     1800   33.7842668  303.6396270
91    212     1411   33.4131170  178.9079500
93    213     1560   44.0376780  5660.117602
94    221     1800   -41.845955  1169.934887
102   221     1750   -19.776559  10.00000000
107   213     1550   -11.298365  94.10000000
