ROW   COL   Start  Frac1   botm1   botm2   botm3
13    62    1      0.0000  1763    1664    1174
12    62    1      0.6667  1754    1655    1245
11    62    1      0.3333  1729    1630    1257
10    62    1      0.0000  1656    1557    1292
9     62    2      0.6667  1755    1656    1441
8     62    2      0.3333  1789    1690    1463
8     63    2      0.0000  1814    1715    1463
8     64    3      0.9565  1837    1738    1463
8     65    3      0.9130  1869    1770    1648
8     66    3      0.8696  1887    1788    1688
9     66    3      0.8261  1815    1716    1616
10    66    3      0.7826  1786    1687    1587
11    66    3      0.7391  1762    1663    1442
11    67    3      0.6957  1770    1671    1531
11    68    3      0.6522  1790    1691    1586
11    69    3      0.6087  1803    1704    1604
11    70    3      0.5652  1823    1724    1573
11    71    3      0.5217  1823    1724    1573
11    72    3      0.4783  1825    1726    1525
11    73    3      0.4348  1825    1726    1525
11    74    3      0.3913  1825    1726    1525
11    75    3      0.3478  1825    1726    1525
11    76    3      0.3043  1820    1721    1620
11    77    3      0.2609  1815    1716    1616
11    78    3      0.2174  1811    1712    1612
11    79    3      0.1739  1813    1714    1614
11    80    3      0.1304  1807    1708    1608
11    81    3      0.0870  1832    1734    1633
11    82    3      0.0435  1867    1768    1668
11    83    3      0.0000  1888    1789    1689
11    84    4      0.9326  1884    1785    1685
11    85    4      0.8651  1863    1764    1664
12    85    4      0.7977  1811    1712    1612
13    86    4      0.7023  1742    1643    1543
14    86    4      0.6349  1686    1587    1487
15    86    4      0.5674  1644    1545    1445
16    86    4      0.5000  1602    1503    1244
17    86    4      0.4326  1562    1463    1163
18    86    4      0.3651  1519    1420    1120
19    86    4      0.2977  1482    1382    1082
20    86    4      0.2302  1444    1315    1065
21    87    4      0.1349  1402    1256    974
21    88    4      0.0674  1406    1306    1106
22    88    4      0.0000  1382    1241    1016
23    88    5      0.6667  1347    1211    968
24    88    5      0.3333  1322    1223    1063
25    88    5      0.0000  1295    1163    958
26    88    6      0.8153  1266    963     763
27    88    6      0.6306  1238    733     482
28    88    6      0.4459  1219    497     247
29    89    6      0.1847  1168    408     308
29    90    6      0.0000  1145    625     525
29    91    7      0.9040  1118    870     770
29    92    7      0.8080  1140    945     845
29    93    7      0.7119  1163    1022    921
29    94    7      0.6159  1152    1052    652
